uid,code,label,description,lat,lon,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressDescription,zoneId,url,type,parentStation,timezone,wheelchairBoarding
5159,50,Дорошенка (50),,49.840237,24.027244,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. П. Дорошенка,3,,0,,0,,Europe/Kyiv,
4977,223,Липова Алея (223),,49.822388,24.054396,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Зелена,113,,0,,0,,Europe/Kyiv,
4800,403,Податкова (403),,49.814562,24.021947,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. І. Чмоли,1,,0,,0,,Europe/Kyiv,
5043,93,Гайовської (93),,49.844742,23.945652,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Білогорща,50,навпроти №50,0,,0,,Europe/Kyiv,
5047,88,Гайовської (88),,49.844787,23.945249,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Білогорща,50,,0,,0,,Europe/Kyiv,
4656,1052,"Брюховичі, Арктична (1052)",,49.901262,23.935706,UA46060250040091928,79491,Україна,Львівська область,Львівський,Львівська ,Брюховичі,вул. В. Івасюка,6,,0,,0,,Europe/Kyiv,
4825,478,Автобусний завод (478),,49.808316,24.016982,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Володимира Великого,2,,0,,0,,Europe/Kyiv,
z-111-01,111-01,Приміський вокзал (111-01),,49.836374,23.997509,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Городоцька,112,,0,,0,,Europe/Kyiv,
4861,365,Вашингтона (365),,49.815921,24.063009,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Дж. Вашингтона,,"вул. Зелена, 147",0,,0,,Europe/Kyiv,
5057,1012,"Винники, Шептицьких (1012)",,49.802299,24.135584,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Забава,1а,,0,,0,,Europe/Kyiv,
4813,399,Кос-Анатольського (399),,49.791274,24.06744,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. І. Кавалерідзе,15,,0,,0,,Europe/Kyiv,
5053,406,Трильовського (406),,49.783734,24.067279,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. К. Трильовського,21,,0,,0,,Europe/Kyiv,
4955,526,Горбачевського (526),,49.826083,24.0093,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Княгині Ольги,,перехрестя з вул. Академіка А. Сахарова,0,,0,,Europe/Kyiv,
5156,237,Кукурудзяна (237),,49.862465,24.060386,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Кукурудзяна,,перехрестя з вул. Ковельською,0,,0,,Europe/Kyiv,
4665,1061,"Брюховичі, Курортна (1061)",,49.904392,23.960066,UA46060250040091928,79491,Україна,Львівська область,Львівський,Львівська ,Брюховичі,вул. Курортна,,"вул. Львівська, 23",0,,0,,Europe/Kyiv,
4662,1063,"Брюховичі, Вокзал (1063)",,49.904133,23.940427,UA46060250040091928,79491,Україна,Львівська область,Львівський,Львівська ,Брюховичі,вул. Незалежності,,перехрестя з вул. Незалежності України,0,,0,,Europe/Kyiv,
4664,1059,"Брюховичі, Пляжна (1059)",,49.905602,23.957378,UA46060250040091928,79491,Україна,Львівська область,Львівський,Львівська ,Брюховичі,вул. Курортна,20,,0,,0,,Europe/Kyiv,
z-413,413,Львівхолод (413),,49.807762,24.053428,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Луганська,6,,0,,0,,Europe/Kyiv,
4666,1068,"Брюховичі, Джерело (1068)",,49.901241,23.960039,UA46060250040091928,79491,Україна,Львівська область,Львівський,Львівська ,Брюховичі,вул. Львівська,,,0,,0,,Europe/Kyiv,
4866,268,Каштанова (268),,49.824522,24.079285,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Медової Печери,30,,0,,0,,Europe/Kyiv,
4868,269,Каштанова (269),,49.824678,24.079086,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Медової Печери,45,,0,,0,,Europe/Kyiv,
5046,164,Роксоляни (164),,49.843999,23.958526,UA46060250010015970,79000,Україна,Львівська область,Львівський,Львівська ,Львів,вул. Роксоляни,,"вул. Широка, 94",0,,0,,Europe/Kyiv,
